"customer_key","product_key","sales_territory_key","order_date","order_year","order_quarter","order_month","order_month_name","gender","occupation","annual_income","product_name","product_sku","category_name","subcategory_name","country","region","continent","order_quantity","unit_cost","unit_price","revenue","total_price","profit"
"14657","332","1","2020-01-01 00:00:00.000","2020","1","1","January","M","Skilled Manual","80000","Road-650 Black, 58","BK-R50B-58","Bikes","Road Bikes","United States","Northwest","North America","1","413.15","699.1","699.1","413.15","285.95"
"29255","312","4","2020-01-01 00:00:00.000","2020","1","1","January","M","Professional","80000","Road-150 Red, 48","BK-R93R-48","Bikes","Road Bikes","United States","Southwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"11455","350","9","2020-01-01 00:00:00.000","2020","1","1","January","M","Management","100000","Mountain-100 Black, 44","BK-M82B-44","Bikes","Mountain Bikes","Australia","Australia","Pacific","1","1898.09","3374.99","3374.99","1898.09","1476.9"
"26782","338","6","2020-01-01 00:00:00.000","2020","1","1","January","M","Skilled Manual","30000","Road-650 Black, 44","BK-R50B-44","Bikes","Road Bikes","Canada","Canada","North America","1","413.15","699.1","699.1","413.15","285.95"
"14947","312","10","2020-01-02 00:00:00.000","2020","1","1","January","M","Manual","20000","Road-150 Red, 48","BK-R93R-48","Bikes","Road Bikes","United Kingdom","United Kingdom","Europe","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"29143","310","4","2020-01-02 00:00:00.000","2020","1","1","January","F","Professional","60000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","United States","Southwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"18747","314","9","2020-01-02 00:00:00.000","2020","1","1","January","F","Skilled Manual","70000","Road-150 Red, 56","BK-R93R-56","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"18746","312","9","2020-01-02 00:00:00.000","2020","1","1","January","M","Skilled Manual","70000","Road-150 Red, 48","BK-R93R-48","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"18906","312","9","2020-01-03 00:00:00.000","2020","1","1","January","F","Skilled Manual","30000","Road-150 Red, 48","BK-R93R-48","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"29170","310","4","2020-01-03 00:00:00.000","2020","1","1","January","F","Professional","60000","Road-150 Red, 62","BK-R93R-62","Bikes","Road Bikes","United States","Southwest","North America","1","2171.29","3578.27","3578.27","2171.29","1406.98"
"11398","345","10","2020-01-03 00:00:00.000","2020","1","1","January","M","Clerical","30000","Mountain-100 Silver, 42","BK-M82S-42","Bikes","Mountain Bikes","United Kingdom","United Kingdom","Europe","1","1912.15","3399.99","3399.99","1912.15","1487.84"
"18899","313","9","2020-01-03 00:00:00.000","2020","1","1","January","M","Clerical","30000","Road-150 Red, 52","BK-R93R-52","Bikes","Road Bikes","Australia","Australia","Pacific","1","2171.29","3578.27","3578.27","2171.29","1406.98"
